2020.07.09 09:54:30 INFO  ce[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2020.07.09 09:54:31 INFO  ce[][o.s.ce.app.CeServer] Compute Engine is stopping...
2020.07.09 09:54:31 INFO  ce[][o.s.c.t.CeProcessingSchedulerImpl] Gracefully stopping workers...
2020.07.09 09:54:32 INFO  ce[][o.s.ce.app.CeServer] Compute Engine is stopped
2020.07.09 12:40:21 INFO  ce[][o.s.p.ProcessEntryPoint] Starting ce
2020.07.09 12:40:21 INFO  ce[][o.s.ce.app.CeServer] Compute Engine starting up...
2020.07.09 12:40:22 INFO  ce[][o.e.p.PluginsService] no modules loaded
2020.07.09 12:40:22 INFO  ce[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2020.07.09 12:40:22 INFO  ce[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2020.07.09 12:40:22 INFO  ce[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2020.07.09 12:40:24 INFO  ce[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2020.07.09 12:40:24 INFO  ce[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2020.07.09 12:40:25 WARN  ce[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2020.07.09 12:40:27 INFO  ce[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /home/aagubuzo/sonarqube-8.3.1.34397
2020.07.09 12:40:27 INFO  ce[][o.s.c.c.CePluginRepository] Load plugins
2020.07.09 12:40:30 INFO  ce[][o.s.c.c.ComputeEngineContainerImpl] Running Community edition
2020.07.09 12:40:30 INFO  ce[][o.s.ce.app.CeServer] Compute Engine is operational
2020.07.09 12:40:51 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=test1 | type=REPORT | id=AXM0c3wpdQmaLwM5H_Vv
2020.07.09 12:40:51 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=24ms
2020.07.09 12:40:51 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=22ms
2020.07.09 12:40:51 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=45ms
2020.07.09 12:40:51 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=8ms
2020.07.09 12:40:51 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Generate analysis UUID | status=SUCCESS | time=0ms
2020.07.09 12:40:52 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Load analysis metadata | status=SUCCESS | time=226ms
2020.07.09 12:40:52 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Initialize | status=SUCCESS | time=0ms
2020.07.09 12:40:52 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Verify billing | status=SUCCESS | time=1ms
2020.07.09 12:40:52 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Build tree of components | components=6 | status=SUCCESS | time=58ms
2020.07.09 12:40:52 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Validate project | status=SUCCESS | time=9ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Load quality profiles | status=SUCCESS | time=2299ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Load Quality gate | status=SUCCESS | time=32ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Load new code period | status=SUCCESS | time=46ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=4 | dbFiles=4 | addedFiles=0 | status=SUCCESS | time=52ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=4 | status=SUCCESS | time=20ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute cross project duplications | status=SUCCESS | time=0ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute size measures | status=SUCCESS | time=57ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute new coverage | status=SUCCESS | time=168ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute coverage measures | status=SUCCESS | time=4ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute comment measures | status=SUCCESS | time=2ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Copy custom measures | status=SUCCESS | time=6ms
2020.07.09 12:40:54 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute duplication measures | status=SUCCESS | time=4ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute size measures on new code | status=SUCCESS | time=9ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute language distribution | status=SUCCESS | time=25ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute test measures | status=SUCCESS | time=2ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute complexity measures | status=SUCCESS | time=4ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Load measure computers | status=SUCCESS | time=23ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute Quality Profile status | status=SUCCESS | time=82ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Execute component visitors | status=SUCCESS | time=510ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Checks executed after computation of measures | status=SUCCESS | time=2ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute Quality Gate measures | status=SUCCESS | time=41ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Compute Quality profile measures | status=SUCCESS | time=7ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Generate Quality profile events | status=SUCCESS | time=10ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Generate Quality gate events | status=SUCCESS | time=7ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist components | status=SUCCESS | time=24ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist analysis | status=SUCCESS | time=9ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist analysis properties | status=SUCCESS | time=2ms
2020.07.09 12:40:55 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist measures | inserts=51 | status=SUCCESS | time=52ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist live measures | insertsOrUpdates=325 | status=SUCCESS | time=423ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=0 | status=SUCCESS | time=17ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=0ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist issues | cacheSize=0 bytes | inserts=0 | updates=0 | merged=0 | status=SUCCESS | time=3ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=7ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist events | status=SUCCESS | time=11ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist sources | status=SUCCESS | time=128ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Persist cross project duplications | status=SUCCESS | time=0ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Enable analysis | status=SUCCESS | time=6ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Update last usage date of quality profiles | status=SUCCESS | time=12ms
2020.07.09 12:40:56 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Purge db | status=SUCCESS | time=176ms
2020.07.09 12:40:57 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Index analysis | status=SUCCESS | time=966ms
2020.07.09 12:40:57 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Send issue notifications | newIssuesNotifs=0 | newIssuesDeliveries=0 | myNewIssuesNotifs=0 | myNewIssuesDeliveries=0 | changesNotifs=0 | changesDeliveries=0 | status=SUCCESS | time=5ms
2020.07.09 12:40:57 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Publish task results | status=SUCCESS | time=0ms
2020.07.09 12:40:57 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.s.ComputationStepExecutor] Trigger refresh of Portfolios and Applications | status=SUCCESS | time=0ms
2020.07.09 12:40:57 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.p.a.p.PostProjectAnalysisTasksExecutor] Webhooks | globalWebhooks=0 | projectWebhooks=0 | status=SUCCESS | time=9ms
2020.07.09 12:40:57 INFO  ce[AXM0c3wpdQmaLwM5H_Vv][o.s.c.t.CeWorkerImpl] Executed task | project=test1 | type=REPORT | id=AXM0c3wpdQmaLwM5H_Vv | status=SUCCESS | time=6523ms
2020.07.09 13:07:57 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=test1 | type=REPORT | id=AXM0jEvVdQmaLwM5H_Vw
2020.07.09 13:07:57 INFO  ce[AXM0jEvVdQmaLwM5H_Vw][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=3ms
2020.07.09 13:07:57 INFO  ce[AXM0jEvVdQmaLwM5H_Vw][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=0ms
2020.07.09 13:07:57 INFO  ce[AXM0jEvVdQmaLwM5H_Vw][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=0ms
2020.07.09 13:07:57 INFO  ce[AXM0jEvVdQmaLwM5H_Vw][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=21ms
